"comment","user_id"
"やっぱ続くのは推しの曲を聴くために生きてるからかな","54"
"推しのことを考えてたら、すぐ終わった！","494"
"MAMAMOOのディンガで作って欲しいです🥺","175"
"結構キツかった笑 リクエストなんですけどHoneyWorksの曲でしてくれると嬉しいです！","863"
"思って以上にキツかったです😅😅 まずは2週間続けてみます！！","452"
"Astroの曲でもやってもらいたいです！😭😭","77"
"サビで何回も絶望😂😂","930"
"1日2セット頑張ります！！ 3/30〇 3/31〇 4/1〇 4/2〇","195"
"次もしできたらNiziUのStep and a  stepでやって欲しいです！！","290"
"ダイナマイト好きな人が踊ってたから今でも頭の中に残ってるw     かっこよかったぁ。","907"
"なんか、慣れてきたww","79"
"この三日坊主の私がどれぐらいできるか 2/23 ⭕️","898"
"勝手に膝が曲がってるんだけど‪w","229"
"これ腹筋もキツいwww","606"
"さていつまで続くか。 3月25日 ○  あれ、もう終わってた(4月1日)","863"
"推しのグループの歌で足パカやれる幸せ。大声で歌うから、腹筋にもいい！！！オガトレ最高！！！","765"
"IZ*ONEの曲でお願いしたいです🥺🥺🥺","204"
"膝を伸ばそうと思っても、身体が硬いせいかまっすぐ伸ばせない…💦","823"
"膝曲げる時めちゃくちゃごりごり言ったΣ(ﾟдﾟ；)","591"
"最後までやったら足もぎとれそうになった😇","139"
"100コンボの時と終わった時の 「キン！！！！」好きです","44"
"大好きな曲なのにこれきっかけで聞くのが苦しくなりそう笑","487"
"股関節バカ痛い😣 けど頑張る！！","473"
"Jungkook really said fawks😻👍✊","190"
"""I love """"life goes on"""" my fav ♡♡♡""","62"
"I love bts soooo much😘😘😘","695"
"""I LOVE """"LIFE GOES ON"""" MY FAV💗💖💗💖""","323"
"muy bueno el album","662"
"I LOVE YOU BTS ~♡","605"
"画像のVのビジュが良すぎて…✨","971"
"everything just hits different","723"
"I love you jimin💜🐣","824"
"Luvvv this playlist 💜💜💜","710"
"Oooooo this playlist is good ♡♡","706"
"BTS ARMY I purple 💜 you","991"
"""EU AMO DEMAIS  ESSE POVO(;<3 AS B-ARMY","941"
"Love you BTS BTS 💕💖💓💖💕💕💞","72"
"yeah life does go on😭😭😭","138"
"SARANGHAE BANGTAN","397"
"나는이 재생 목록을 사랑 감사합니다.","864"
"나는이 노래를 너무 좋아해 .... 너무 행복하게","394"
"노래좋다~♥","738"
"""Oh my gosh","957"
"방탄 최고","926"
"💕💓💓💓🥰 thanks a lot! I’m really happy!","352"
"봄날 좋음","366"
"사랑한데이 ~♡","766"
"저도 공부하면서 듣는데  집중이안되고 계속 따라불르고있네욬ㅋ","887"
"Me encanta el álbum la escuché mucho 👌","934"
"love your playlist!","43"
"amo a familia BTS...","485"
"돌아가곱구만요ㅎㅎ  방탄과  같은나이대로ㅎㅎ노래가너무좋다ㅠ","745"
"K❤ Ki❤❤ Kim❤❤❤ T💙 Ta💙💙 Tae💙💙💙","376"
"I also like your hair it’s my fav","886"
"BTS los amo mucho ❤️","645"
"""BTS los amoooo ","327"
"👏👏👏","567"
"💜💜💜💜","311"
"i ove jimin","991"
"💜💜💜💜💜💜💜FOREVER","180"
"tachue nam ora nih wiri🤩🤩🤩🤩🤩🤩","52"
"ilove you v","740"
"Sumpah lagu nya enak banget","132"
"💓💓💓","791"
"Ilked bts ilveyou jangkook7","118"
"""Aku tuh nonton ni waktu mau ngerjain tugas","740"
"N.O nya mana","966"
"My love B T S!!! I love you!!!!!!","233"
"Finally Savage Love is added!","664"
"Bolehkah tiada iklan 😑","841"
"enak banget suaranya","38"
"良いい曲だね😍😍😍😍😍😍全部❤❤❤❤","331"
"me encantan todas las canciones 👏👏","447"
"Aku sangat sukak lagu mereka mimber bts","71"
"i love  you  bts","953"
"Hii","993"
"so  nice .........   i  like  you all","805"
"i love it","917"
"Me gustaa j- hope jimin v y tam bien jungkook","205"
"Hola 😙 mañana","312"
"Kebanyakan  iklan","232"
"bts is love","974"
"Wowwwww🥰🥰🥰🥰🥰","194"
"Hiiii bts","620"
"#FOREVERANDCUTESUGA!!!","173"
"HOW MANY INTERNATIONAL    BTS fans are here ?","486"
"Iya","2"
"Hola 👋😘","307"
"My love bts","206"
"☺😀😄😙","328"
"""When Hobi leads a Dance break","699"
"""things you could watch forever: burning fire","966"
"j-hope is the beat","324"
"I can’t get tired of watching him dance.","439"
"J-hope is a dance *LEGEND* ✨👑","738"
"""When he dances","875"
"""His control  over moves","694"
"EXTRA PLUS ORDINARY!!!!","242"
"A sight for sore eyes our main dancer","214"
"Thank you for your hard work so much","360"
